region_id,date,element,station_count,minimum,maximum
SA-01,20200921,TMAX,2,40.0,41.0
SA-01,20200921,TMIN,2,22.0,25.6
SA-01,20200922,TMAX,2,40.0,41.0
SA-01,20200922,TMIN,1,27.0,27.0
SA-01,20200923,TMAX,1,40.0,40.0
SA-01,20200923,TMIN,2,22.0,24.4
SA-01,20200924,TMAX,2,40.0,40.1
SA-01,20200924,TMIN,2,21.0,23.7
SA-01,20200925,TMAX,2,41.0,41.2
SA-01,20200925,TMIN,2,22.0,23.9
SA-01,20200926,TMAX,2,39.0,41.9
SA-01,20200926,TMIN,1,23.0,23.0
SA-01,20200927,TMAX,1,41.0,41.0
SA-01,20200927,TMIN,1,22.0,22.0
SA-01,20200928,TMAX,1,40.0,40.0
SA-01,20200928,TMIN,2,25.0,25.6
SA-01,20200929,TMAX,2,38.5,40.0
SA-01,20200929,TMIN,2,21.0,24.1
SA-01,20200930,TMAX,2,39.5,40.0
SA-01,20200930,TMIN,2,21.2,23.0
SA-01,20201001,TMAX,2,39.0,40.2
SA-01,20201001,TMIN,2,20.9,23.5
SA-01,20201002,TMIN,1,21.2,21.2
SA-01,20201003,TMAX,2,38.0,38.0
SA-01,20201003,TMIN,2,21.0,21.8
SA-01,20201004,TMAX,1,37.0,37.0
SA-01,20201004,TMIN,1,21.0,21.0
SA-01,20201005,TMAX,1,39.0,39.0
SA-01,20201005,TMIN,2,20.4,21.0
SA-01,20201006,TMAX,2,40.0,41.0
SA-01,20201006,TMIN,2,20.0,21.9
SA-01,20201007,TMAX,2,38.1,39.0
SA-01,20201007,TMIN,1,21.0,21.0
SA-01,20201008,TMAX,2,36.0,38.0
SA-01,20201008,TMIN,2,20.7,21.0
SA-01,20201009,TMAX,2,37.0,37.4
SA-01,20201009,TMIN,1,18.2,18.2
SA-01,20201010,TMAX,2,35.0,37.0
SA-01,20201010,TMIN,2,18.0,19.8
SA-01,20201011,TMAX,2,34.0,35.0
SA-01,20201011,TMIN,2,16.8,18.0
SA-01,20201012,TMAX,1,35.0,35.0
SA-01,20201012,TMIN,2,16.3,19.0
SA-01,20201013,TMAX,2,34.0,34.4
SA-01,20201013,TMIN,2,17.0,17.7
SA-01,20201014,TMAX,2,34.0,34.0
SA-01,20201014,TMIN,2,15.9,17.0
SA-01,20201015,TMAX,1,34.0,34.0
SA-01,20201015,TMIN,2,15.3,16.0
SA-01,20201016,TMAX,2,32.2,34.0
SA-01,20201016,TMIN,2,15.0,16.0
SA-01,20201017,TMAX,2,33.0,34.0
SA-01,20201017,TMIN,2,16.0,18.0
SA-01,20201018,TMAX,2,33.0,34.0
SA-01,20201018,TMIN,2,15.4,17.0
SA-01,20201019,TMAX,2,32.4,34.0
SA-01,20201019,TMIN,2,15.5,16.0
SA-01,20201020,TMAX,2,32.6,33.0
SA-01,20201020,TMIN,1,15.0,15.0
SA-01,20201021,TMAX,2,33.0,33.2
SA-01,20201021,TMIN,2,14.0,15.7
SA-01,20201022,TMAX,2,32.3,34.0
SA-01,20201022,TMIN,2,14.6,16.0
SA-01,20201023,TMAX,2,34.0,34.0
SA-01,20201023,TMIN,1,16.6,16.6
SA-01,20201024,TMAX,1,32.0,32.0
SA-01,20201024,TMIN,2,12.0,13.0
SA-01,20201025,TMAX,2,31.0,32.0
SA-01,20201025,TMIN,2,13.6,15.5
SA-01,20201026,TMAX,2,32.1,33.0
SA-01,20201026,TMIN,2,13.7,16.0
SA-01,20201027,TMAX,1,33.0,33.0
SA-01,20201027,TMIN,2,14.0,16.0
SA-01,20201028,TMAX,1,31.0,31.0
SA-01,20201028,TMIN,1,17.0,17.0
SA-01,20201029,TMAX,2,31.0,31.1
SA-01,20201029,TMIN,2,13.3,16.0
SA-01,20201030,TMAX,1,31.0,31.0
SA-01,20201030,TMIN,2,13.0,15.0
SA-01,20201031,TMAX,2,30.2,32.0
SA-01,20201031,TMIN,2,13.8,16.0
SA-01,20201101,TMAX,1,32.0,32.0
SA-01,20201101,TMIN,2,14.6,15.0
SA-01,20201102,TMAX,2,31.2,32.0
SA-01,20201102,TMIN,2,13.9,16.0
SA-01,20201103,TMAX,2,31.3,32.0
SA-01,20201103,TMIN,2,13.7,15.0
SA-01,20201104,TMAX,1,31.0,31.0
SA-01,20201104,TMIN,1,14.0,14.0
SA-01,20201105,TMAX,2,32.0,32.1
SA-01,20201105,TMIN,2,14.0,14.3
SA-01,20201106,TMAX,2,32.0,32.1
SA-01,20201107,TMAX,2,32.0,33.0
SA-01,20201107,TMIN,2,16.0,18.0
SA-01,20201108,TMAX,2,31.0,33.0
SA-01,20201108,TMIN,2,17.0,17.9
SA-01,20201109,TMAX,2,31.0,32.0
SA-01,20201109,TMIN,1,19.0,19.0
SA-01,20201110,TMAX,2,32.2,33.0
SA-01,20201110,TMIN,2,17.0,18.3
SA-01,20201111,TMAX,1,33.0,33.0
SA-01,20201111,TMIN,2,17.0,19.1
SA-01,20201112,TMAX,2,32.4,33.0
SA-01,20201112,TMIN,1,18.0,18.0
SA-01,20201113,TMAX,2,32.0,32.0
SA-01,20201113,TMIN,2,16.6,17.0
SA-01,20201114,TMAX,2,25.1,31.0
SA-01,20201114,TMIN,2,16.0,17.0
SA-01,20201115,TMAX,2,27.9,31.0
SA-01,20201115,TMIN,2,13.8,16.0
SA-01,20201116,TMIN,1,16.0,16.0
SA-01,20201117,TMAX,2,30.1,32.0
SA-01,20201117,TMIN,1,16.0,16.0
SA-01,20201118,TMAX,2,27.4,32.0
SA-01,20201118,TMIN,1,16.0,16.0
SA-01,20201119,TMAX,2,28.4,30.0
SA-01,20201119,TMIN,2,14.0,14.1
SA-01,20201120,TMAX,2,28.8,31.0
SA-01,20201120,TMIN,2,15.0,16.5
SA-01,20201121,TMAX,1,30.0,30.0
SA-01,20201121,TMIN,2,15.0,17.9
SA-01,20201122,TMAX,2,27.0,31.0
SA-01,20201122,TMIN,2,13.0,16.7
SA-01,20201123,TMAX,2,26.0,29.0
SA-01,20201123,TMIN,1,15.0,15.0
SA-01,20201124,TMAX,2,25.2,28.0
SA-01,20201124,TMIN,1,11.4,11.4
SA-01,20201125,TMAX,1,28.0,28.0
SA-01,20201125,TMIN,2,10.9,13.0
SA-01,20201126,TMAX,2,27.2,29.0
SA-01,20201126,TMIN,2,12.9,14.0
SA-02,20200501,TMAX,2,32.0,35.0
SA-02,20200501,TMIN,1,23.0,23.0
SA-02,20200502,TMAX,2,31.4,32.0
SA-02,20200502,TMIN,1,19.0,19.0
SA-02,20200503,TMAX,1,33.0,33.0
SA-02,20200503,TMIN,2,15.0,20.8
SA-02,20200504,TMAX,1,35.0,35.0
SA-02,20200504,TMIN,2,18.0,24.0
SA-02,20200505,TMAX,2,33.0,37.4
SA-02,20200505,TMIN,1,21.0,21.0
SA-02,20200506,TMAX,1,34.0,34.0
SA-02,20200506,TMIN,1,18.0,18.0
SA-02,20200507,TMAX,2,33.2,34.0
SA-02,20200507,TMIN,2,18.0,23.6
SA-02,20200508,TMAX,2,33.0,35.4
SA-02,20200508,TMIN,2,19.0,24.6
SA-02,20200509,TMAX,2,33.4,34.0
SA-02,20200509,TMIN,1,21.0,21.0
SA-02,20200510,PRCP,1,5.1,5.1
SA-02,20200510,TMAX,2,33.0,33.2
SA-02,20200510,TMIN,1,19.0,19.0
SA-02,20200511,TMAX,2,33.0,34.4
SA-02,20200511,TMIN,2,19.0,27.8
SA-02,20200512,TMIN,2,19.0,26.8
SA-02,20200513,TMAX,2,36.0,39.0
SA-02,20200513,TMIN,1,23.4,23.4
SA-02,20200514,TMAX,2,34.0,37.0
SA-02,20200514,TMIN,2,19.0,28.0
SA-02,20200515,TMAX,1,40.2,40.2
SA-02,20200516,PRCP,1,6.1,6.1
SA-02,20200516,TMAX,1,33.0,33.0
SA-02,20200516,TMIN,2,15.0,32.0
SA-02,20200517,TMAX,2,31.0,41.4
SA-02,20200517,TMIN,1,19.0,19.0
SA-02,20200518,TMAX,2,29.0,40.0
SA-02,20200518,TMIN,1,19.0,19.0
SA-02,20200519,PRCP,1,0.0,0.0
SA-02,20200519,TMAX,2,31.0,38.0
SA-02,20200519,TMIN,2,19.0,29.6
SA-02,20200520,TMAX,2,33.0,38.0
SA-02,20200520,TMIN,1,19.0,19.0
SA-02,20200521,TMAX,2,33.0,38.0
SA-02,20200521,TMIN,1,20.0,20.0
SA-02,20200522,TMAX,2,34.0,40.0
SA-02,20200522,TMIN,2,20.0,27.8
SA-02,20200523,TMAX,1,32.0,32.0
SA-02,20200523,TMIN,1,21.0,21.0
SA-02,20200524,TMAX,2,35.0,35.2
SA-02,20200524,TMIN,1,20.0,20.0
SA-02,20200525,TMAX,2,33.2,34.0
SA-02,20200526,TMAX,1,34.0,34.0
SA-02,20200526,TMIN,1,21.0,21.0
SA-02,20200527,TMAX,2,35.0,35.2
SA-02,20200527,TMIN,2,21.0,26.6
SA-02,20200528,TMAX,2,33.0,36.0
SA-02,20200528,TMIN,1,20.0,20.0
SA-02,20200529,TMIN,1,23.0,23.0
SA-02,20200530,TMAX,2,34.0,37.0
SA-02,20200530,TMIN,2,23.0,26.0
SA-02,20200531,TMAX,2,35.0,36.0
SA-02,20200531,TMIN,1,24.0,24.0
SA-02,20200601,TMAX,2,35.0,37.0
SA-02,20200601,TMIN,2,23.0,24.8
SA-02,20200602,TMAX,1,37.0,37.0
SA-02,20200602,TMIN,2,23.0,24.6
SA-02,20200603,TMAX,2,38.0,41.0
SA-02,20200603,TMIN,2,23.0,26.0
SA-02,20200604,TMAX,2,35.0,38.0
SA-02,20200604,TMIN,2,20.0,26.6
SA-02,20200605,TMIN,1,26.6,26.6
SA-02,20200606,TMAX,1,33.0,33.0
SA-02,20200606,TMIN,1,28.6,28.6
SA-02,20200607,TMAX,2,34.0,38.2
SA-02,20200607,TMIN,2,22.0,29.0
SA-02,20200608,TMAX,1,38.0,38.0
SA-02,20200608,TMIN,1,24.0,24.0
SA-02,20200609,TMAX,2,37.0,42.4
SA-02,20200609,TMIN,1,27.6,27.6
SA-02,20200610,TMAX,2,37.0,43.0
SA-02,20200610,TMIN,2,24.0,28.0
SA-02,20200611,TMAX,2,38.0,38.2
SA-02,20200611,TMIN,2,25.0,26.6
SA-02,20200612,TMAX,2,35.0,38.0
SA-02,20200612,TMIN,2,24.0,27.0
SA-02,20200613,TMAX,1,38.0,38.0
SA-02,20200613,TMIN,2,25.0,27.8
SA-02,20200614,TMAX,2,37.0,38.0
SA-02,20200615,TMAX,1,37.0,37.0
SA-02,20200615,TMIN,2,24.0,28.6
SA-02,20200616,TMAX,2,36.4,37.0
SA-02,20200616,TMIN,1,23.0,23.0
SA-02,20200617,TMIN,1,24.0,24.0
SA-02,20200618,TMAX,2,38.0,39.4
SA-02,20200618,TMIN,2,24.0,26.6
SA-02,20200619,TMAX,1,37.0,37.0
SA-02,20200619,TMIN,2,25.3,27.8
SA-02,20200620,TMAX,2,34.0,35.0
SA-02,20200621,TMAX,2,34.2,36.0
SA-02,20200621,TMIN,2,20.0,25.0
SA-02,20200622,TMAX,2,36.0,36.0
SA-02,20200622,TMIN,1,21.0,21.0
SA-02,20200623,TMAX,2,36.0,46.6
SA-02,20200623,TMIN,1,26.6,26.6
SA-02,20200624,TMAX,1,36.0,36.0
SA-02,20200624,TMIN,1,24.0,24.0
SA-02,20200625,TMAX,1,34.0,34.0
SA-02,20200625,TMIN,1,21.0,21.0
SA-02,20200626,TMAX,1,38.0,38.0
SA-02,20200626,TMIN,1,24.0,24.0
SA-02,20200627,TMAX,1,36.4,36.4
SA-02,20200627,TMIN,2,25.0,28.2
SA-02,20200628,TMAX,2,38.0,40.0
SA-02,20200628,TMIN,2,26.0,29.0
SA-02,20200629,TMAX,1,40.0,40.0
SA-02,20200629,TMIN,1,27.0,27.0
SA-02,20200630,TMAX,2,38.0,39.0
SA-02,20200630,TMIN,2,26.0,28.6
SA-02,20200701,TMAX,1,38.0,38.0
SA-02,20200701,TMIN,2,26.0,29.0
SA-02,20200702,TMAX,1,38.0,38.0
SA-02,20200702,TMIN,1,26.0,26.0
SA-02,20200703,TMAX,2,37.0,41.4
SA-02,20200703,TMIN,2,27.0,28.8
SA-02,20200704,TMAX,2,37.2,39.0
SA-02,20200704,TMIN,2,25.0,27.6
SA-02,20200705,TMAX,2,38.0,39.0
SA-02,20200705,TMIN,2,26.0,28.0
SA-02,20200706,TMAX,2,34.0,37.6
SA-02,20200706,TMIN,2,25.0,28.6
SA-02,20200707,TMAX,2,35.0,39.2
SA-02,20200707,TMIN,1,24.0,24.0
SA-02,20200708,TMAX,2,35.0,41.0
SA-02,20200708,TMIN,2,25.0,26.6
SA-02,20200709,TMAX,2,36.0,41.2
SA-02,20200709,TMIN,2,24.0,27.6
SA-02,20200710,TMAX,1,35.0,35.0
SA-02,20200710,TMIN,2,24.0,28.2
SA-02,20200711,TMAX,2,36.0,39.4
SA-02,20200711,TMIN,1,24.0,24.0
SA-02,20200712,TMAX,2,35.2,36.0
SA-02,20200712,TMIN,2,23.0,28.0
SA-02,20200713,TMAX,2,33.0,36.0
SA-02,20200713,TMIN,2,23.0,28.8
