case_id,source_file,file_size_bytes,sha256,file_modified_at_utc,validated_at_utc,validation_status,validation_errors,validation_warnings,initial_time,lead_time_hours,valid_start_time,valid_end_time,forecast_model,source_resolution,indicator_version,indicator_mapping_sha256,implementation_sha256,repository_revision
20200729_00,handoff/mazu_like/mazu_like_20200729_00_lead072.nc,370764,d4491d25da40c313cb795171a2eb3872b9dbfbea86c61ebee6293d506ab46993,2026-07-16T10:03:31.638424Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-29T00:00:00Z,72,2020-07-31T00:00:00Z,2020-08-01T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20201109_00,handoff/mazu_like/mazu_like_20201109_00_lead024.nc,370764,5d8f0ba9cfca23728b8d379416b515b29ded34a6ebc926d09919fd90b7396eda,2026-07-16T10:27:13.332728Z,2026-07-16T16:51:33.473577Z,passed,,,2020-11-09T00:00:00Z,24,2020-11-09T00:00:00Z,2020-11-10T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20201109_00,handoff/mazu_like/mazu_like_20201109_00_lead048.nc,370764,a8068bee0e2fe6a271661bf74eb52386f189037fd313bce196d69816c85f2a68,2026-07-16T10:27:13.440619Z,2026-07-16T16:51:33.473577Z,passed,,,2020-11-09T00:00:00Z,48,2020-11-10T00:00:00Z,2020-11-11T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20201109_00,handoff/mazu_like/mazu_like_20201109_00_lead072.nc,370764,a283d2fe8e60daac562c71d863395a1646284521efd180a95c912050f098ced2,2026-07-16T10:27:13.547303Z,2026-07-16T16:51:33.473577Z,passed,,,2020-11-09T00:00:00Z,72,2020-11-11T00:00:00Z,2020-11-12T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20201119_00,handoff/mazu_like/mazu_like_20201119_00_lead024.nc,370764,3c882e8677baed1ead5290d53c071ef18b6e4635d386706996cf07d001e23db7,2026-07-16T11:48:13.117855Z,2026-07-16T16:51:33.473577Z,passed,,,2020-11-19T00:00:00Z,24,2020-11-19T00:00:00Z,2020-11-20T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20201119_00,handoff/mazu_like/mazu_like_20201119_00_lead048.nc,370764,eef5b490470e784bb74128d66e88b33ca26e36e4523fe003c0887adeaeaf96ee,2026-07-16T11:48:13.187600Z,2026-07-16T16:51:33.473577Z,passed,,,2020-11-19T00:00:00Z,48,2020-11-20T00:00:00Z,2020-11-21T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20201119_00,handoff/mazu_like/mazu_like_20201119_00_lead072.nc,370764,04290b31188a561c2e56530f49496dab19381e159f4ce13c47aeaac50dfaabfb,2026-07-16T11:48:13.267107Z,2026-07-16T16:51:33.473577Z,passed,,,2020-11-19T00:00:00Z,72,2020-11-21T00:00:00Z,2020-11-22T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20201112_00,handoff/mazu_like/mazu_like_20201112_00_lead024.nc,370764,1dabea691f2d04374f1587666a696539cdd0784b693f2493c71aa5c7441956b5,2026-07-16T12:11:22.292412Z,2026-07-16T16:51:33.473577Z,passed,,,2020-11-12T00:00:00Z,24,2020-11-12T00:00:00Z,2020-11-13T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20201112_00,handoff/mazu_like/mazu_like_20201112_00_lead048.nc,370764,0ec1ca3330ce9a48a4c15f3779a49ec6d445a3f0d99d6329222d4b72378417e1,2026-07-16T12:11:22.418654Z,2026-07-16T16:51:33.473577Z,passed,,,2020-11-12T00:00:00Z,48,2020-11-13T00:00:00Z,2020-11-14T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20201112_00,handoff/mazu_like/mazu_like_20201112_00_lead072.nc,370764,384bbd38425eba97f73c119a3346e98d8736b76d0e8d69881ccd7936e8a5c532,2026-07-16T12:11:22.519668Z,2026-07-16T16:51:33.473577Z,passed,,,2020-11-12T00:00:00Z,72,2020-11-14T00:00:00Z,2020-11-15T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20201125_00,handoff/mazu_like/mazu_like_20201125_00_lead024.nc,370764,85f41b0351e998785c8a997d26811ca87292e48fb2ddfbf502aa7cdec3630dd3,2026-07-16T12:50:51.988338Z,2026-07-16T16:51:33.473577Z,passed,,,2020-11-25T00:00:00Z,24,2020-11-25T00:00:00Z,2020-11-26T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20201125_00,handoff/mazu_like/mazu_like_20201125_00_lead048.nc,370764,7ce1f9984844904fa4c5aa800bb11cf3da67e9ab6d544ce6c9728be51b42f3ea,2026-07-16T12:50:52.100869Z,2026-07-16T16:51:33.473577Z,passed,,,2020-11-25T00:00:00Z,48,2020-11-26T00:00:00Z,2020-11-27T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20201125_00,handoff/mazu_like/mazu_like_20201125_00_lead072.nc,370764,0d4cd6ed076039c358f67431337462c6e65bbc9b9730670c9f70704e7810c96b,2026-07-16T12:50:52.210022Z,2026-07-16T16:51:33.473577Z,passed,,,2020-11-25T00:00:00Z,72,2020-11-27T00:00:00Z,2020-11-28T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200820_00,handoff/mazu_like/mazu_like_20200820_00_lead024.nc,370764,246050df158114bedc0e1e543ef8f6e130dffd775d7725eda510926fb617b18f,2026-07-14T02:14:37.129937Z,2026-07-16T16:51:33.473577Z,passed,,,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200820_00,handoff/mazu_like/mazu_like_20200820_00_lead048.nc,370764,c95e94bd82dff8a366c3e181fb56c7aa0219af88fee0b88b313ee193f417708c,2026-07-14T02:14:37.153938Z,2026-07-16T16:51:33.473577Z,passed,,,2020-08-20T00:00:00Z,48,2020-08-21T00:00:00Z,2020-08-22T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200820_00,handoff/mazu_like/mazu_like_20200820_00_lead072.nc,370764,c4760da4b65f249bee74cb5280000fb5980976245d3975b6a49790e6fed6a28f,2026-07-14T02:14:37.178662Z,2026-07-16T16:51:33.473577Z,passed,,,2020-08-20T00:00:00Z,72,2020-08-22T00:00:00Z,2020-08-23T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
