method,source_group,case_id,case_role,region_id,lead_time_hours,evaluation_scope,source_spatial_p95_degc,raw_forecast_tmax_degc,source_maximum_degc,maximum_weight,base_aggregated_tmax_degc,correction_degc,candidate_tmax_degc,observed_tmax_degc,hot_day_threshold_degc,severe_hot_day_threshold_degc,observed_hot_day,candidate_hot_day,candidate_severe_hot_day,forecast_hot_day_streak,candidate_positive
lead_median_loco,2018_cross_year_prospective,20180619_00,event,SA-03,72,target_window,44.862366,44.862366,47.78302,0.0,44.862366,1.5008320000000026,46.363198000000004,47.0,47.0,49.0,True,False,False,0,False
lead_median_loco,2018_cross_year_prospective,20180623_00,control,SA-03,24,target_window,43.710217,43.710217,47.004944,0.0,43.710217,0.8836119999999994,44.593829,43.4,47.0,49.0,False,False,False,0,False
lead_median_loco,2018_cross_year_prospective,20180623_00,control,SA-03,48,target_window,43.328873,43.328873,44.586487,0.0,43.328873,1.917664000000002,45.246537000000004,44.0,47.0,49.0,False,False,False,0,False
lead_median_loco,2018_cross_year_prospective,20180623_00,control,SA-03,72,target_window,42.828177,42.828177,43.891113,0.0,42.828177,1.5839399999999983,44.412116999999995,43.0,47.0,49.0,False,False,False,0,False
lead_median_loco,2018_cross_year_prospective,20180709_00,event,SA-04,24,target_window,47.452081,47.452081,48.143402,0.0,47.452081,0.8836119999999994,48.335693,47.0,47.249969,49.078418,False,True,False,1,False
lead_median_loco,2018_cross_year_prospective,20180709_00,event,SA-04,48,target_window,46.501558,46.501558,47.531647,0.0,46.501558,1.917664000000002,48.419222000000005,48.0,47.249969,49.078418,True,True,False,2,True
lead_median_loco,2018_cross_year_prospective,20180709_00,event,SA-04,72,target_window,46.41606,46.41606,47.837372,0.0,46.41606,1.5008320000000026,47.916892000000004,48.0,47.249969,49.078418,True,True,False,3,True
lead_median_loco,2018_cross_year_prospective,20180719_00,control,SA-04,24,target_window,45.306812,45.306812,46.342468,0.0,45.306812,0.8836119999999994,46.190424,45.0,47.249969,49.078418,False,False,False,0,False
lead_median_loco,2018_cross_year_prospective,20180719_00,control,SA-04,48,target_window,45.943123,45.943123,46.409851,0.0,45.943123,1.917664000000002,47.860787,45.0,47.249969,49.078418,False,True,False,1,False
lead_median_loco,2018_cross_year_prospective,20180719_00,control,SA-04,72,target_window,45.913065,45.913065,46.644348,0.0,45.913065,1.5839399999999983,47.497005,44.0,47.249969,49.078418,False,True,False,2,True
lead_median_loco,2020_retrospective_sa04,20200619_00,control,SA-04,24,context_only,43.867627,43.867627,44.670044,0.0,43.867627,0.8836119999999994,44.751239,44.1,47.249969,49.078418,False,False,False,0,False
lead_median_loco,2020_retrospective_sa04,20200619_00,control,SA-04,48,target_window,44.084943,44.084943,44.893799,0.0,44.084943,1.917664000000002,46.002607000000005,43.1,47.249969,49.078418,False,False,False,0,False
lead_median_loco,2020_retrospective_sa04,20200619_00,control,SA-04,72,target_window,44.450366,44.450366,45.464539,0.0,44.450366,1.5839399999999983,46.034306,43.0,47.249969,49.078418,False,False,False,0,False
lead_median_loco,2020_retrospective_sa04,20200622_00,control,SA-04,24,context_only,43.013921,43.013921,43.666168,0.0,43.013921,0.8836119999999994,43.897533,41.0,47.249969,49.078418,False,False,False,0,False
lead_median_loco,2020_retrospective_sa04,20200622_00,control,SA-04,48,target_window,42.062547,42.062547,43.851593,0.0,42.062547,1.6319760000000016,43.694523000000004,44.0,47.249969,49.078418,False,False,False,0,False
lead_median_loco,2020_retrospective_sa04,20200622_00,control,SA-04,72,target_window,42.636359,42.636359,44.274292,0.0,42.636359,1.5839399999999983,44.220299,44.1,47.249969,49.078418,False,False,False,0,False
