case_id,initial_time,lead_time_hours,valid_start_time,valid_end_time,region_id,variable,aggregation,forecast_value,observed_value,unit,event_threshold,observation_source,observation_id,coverage_fraction,station_count,qc_status
20200706_00,2020-07-06T00:00:00Z,72,2020-07-08T00:00:00Z,2020-07-09T00:00:00Z,SA-04,tmin_c,station_max,32.317291259765625,34.0,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-08_SA-04_tmin_c_station_max,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,72,2020-07-08T00:00:00Z,2020-07-09T00:00:00Z,SA-04,tmin_c,station_min,30.784698486328125,29.0,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-08_SA-04_tmin_c_station_min,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,24,2020-07-15T00:00:00Z,2020-07-16T00:00:00Z,SA-04,tmax_c,station_mean,44.95903015136719,47.3,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-15_SA-04_tmax_c_station_mean,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,24,2020-07-15T00:00:00Z,2020-07-16T00:00:00Z,SA-04,tmax_c,station_max,47.2911376953125,48.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-15_SA-04_tmax_c_station_max,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,24,2020-07-15T00:00:00Z,2020-07-16T00:00:00Z,SA-04,tmax_c,station_min,40.272552490234375,46.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-15_SA-04_tmax_c_station_min,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,24,2020-07-15T00:00:00Z,2020-07-16T00:00:00Z,SA-04,tmin_c,station_mean,33.86547088623047,34.075,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-15_SA-04_tmin_c_station_mean,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,24,2020-07-15T00:00:00Z,2020-07-16T00:00:00Z,SA-04,tmin_c,station_max,34.60601806640625,34.3,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-15_SA-04_tmin_c_station_max,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,24,2020-07-15T00:00:00Z,2020-07-16T00:00:00Z,SA-04,tmin_c,station_min,32.656005859375,34.0,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-15_SA-04_tmin_c_station_min,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,48,2020-07-16T00:00:00Z,2020-07-17T00:00:00Z,SA-04,tmax_c,station_mean,42.99713897705078,45.55,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-16_SA-04_tmax_c_station_mean,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,48,2020-07-16T00:00:00Z,2020-07-17T00:00:00Z,SA-04,tmax_c,station_max,44.92669677734375,46.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-16_SA-04_tmax_c_station_max,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,48,2020-07-16T00:00:00Z,2020-07-17T00:00:00Z,SA-04,tmax_c,station_min,38.58074951171875,44.2,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-16_SA-04_tmax_c_station_min,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,48,2020-07-16T00:00:00Z,2020-07-17T00:00:00Z,SA-04,tmin_c,station_mean,31.822052001953125,32.725,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-16_SA-04_tmin_c_station_mean,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,48,2020-07-16T00:00:00Z,2020-07-17T00:00:00Z,SA-04,tmin_c,station_max,33.1180419921875,33.5,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-16_SA-04_tmin_c_station_max,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,48,2020-07-16T00:00:00Z,2020-07-17T00:00:00Z,SA-04,tmin_c,station_min,31.025360107421875,31.4,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-16_SA-04_tmin_c_station_min,0.8,4,accepted
20200715_00,2020-07-15T00:00:00Z,72,2020-07-17T00:00:00Z,2020-07-18T00:00:00Z,SA-04,tmax_c,station_mean,43.12468719482422,46.55,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-17_SA-04_tmax_c_station_mean,0.8,4,accepted
